#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 10 01 18 42  33  3.0  3.3 99.00 99.00 99.00 999 1013.1  22.5  22.1 999.0 99.0 99.00
2022 10 01 18 48  31  2.9  3.3 99.00 99.00 99.00 999 1013.0  22.6  22.2 999.0 99.0 99.00
2022 10 01 18 54  33  1.8  3.0 99.00 99.00 99.00 999 1012.9  22.7  22.3 999.0 99.0 99.00
2022 10 01 19 00  37  2.3  2.4 99.00 99.00 99.00 999 1012.8  22.9  22.3 999.0 99.0 99.00
2022 10 01 19 06  36  2.3  2.7 99.00 99.00 99.00 999 1012.7  23.0  22.2 999.0 99.0 99.00
2022 10 01 19 12  43  1.7  2.3 99.00 99.00 99.00 999 1012.6  23.1  22.2 999.0 99.0 99.00
2022 10 01 19 18  43  1.9  2.3 99.00 99.00 99.00 999 1012.6  23.3  22.3 999.0 99.0 99.00
2022 10 01 19 24  55  0.8  2.2 99.00 99.00 99.00 999 1012.5  23.4  22.4 999.0 99.0 99.00
2022 10 01 19 30  69  1.8  2.1 99.00 99.00 99.00 999 1012.4  23.1  22.5 999.0 99.0 99.00
2022 10 01 19 36  84  0.9  1.9 99.00 99.00 99.00 999 1012.4  23.3  22.5 999.0 99.0 99.00
2022 10 01 19 42  99  0.4  0.9 99.00 99.00 99.00 999 1012.4  23.7  22.5 999.0 99.0 99.00
2022 10 01 19 48  71  0.9  1.0 99.00 99.00 99.00 999 1012.3  23.8  22.5 999.0 99.0 99.00
2022 10 01 19 54  69  1.0  1.2 99.00 99.00 99.00 999 1012.3  24.0  22.4 999.0 99.0 99.00
2022 10 01 20 00  55  1.0  1.4 99.00 99.00 99.00 999 1012.2  24.2  22.4 999.0 99.0 99.00
2022 10 01 20 06  67  0.0  0.7 99.00 99.00 99.00 999 1012.1  25.2  22.6 999.0 99.0 99.00
2022 10 01 20 12  57  1.1  1.3 99.00 99.00 99.00 999 1012.1  25.3  22.6 999.0 99.0 99.00
